n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,beta_setting,beta1_state,beta2_barcode,beta_runner
1024,0.413503030232861,0.644649964517306,0.883447600391773,1804,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.418541734246992,0.668052704308787,0.877571008814887,1792,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.395753488080897,0.661183226942752,0.903036238981391,1844,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.407608373258494,0.647270526262326,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.450592410078579,0.558093969688671,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.461548159732603,0.598221012826231,0.860920666013712,1758,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.456933196332175,0.596904894857423,0.853085210577865,1742,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.451932393955817,0.607873493435163,0.873653281096964,1784,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.423892166358095,0.648889233359306,0.89128305582762,1820,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.446650135141727,0.592677683277256,0.867776689520078,1772,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.402109574369623,0.657913735398535,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.401462456330142,0.677578053943802,0.894221351616063,1826,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.405164729540806,0.683669858040954,0.882468168462292,1802,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.415312092810972,0.678859188475937,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.38942954892628,0.675356742016527,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.400599415617116,0.681167718586492,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_2p5_beta2_7p5_barcode_moderate,2.5,7.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_2p5_beta2_7p5_barcode_moderate.R
1024,0.453187789676786,0.55912442554498,0.878550440744368,1794,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.467935891228359,0.563658803323516,0.860920666013712,1758,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.466314387106844,0.54679692676835,0.853085210577865,1742,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.469880230695116,0.537202122859648,0.867776689520078,1772,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.426697544600686,0.619002333441244,0.893241919686582,1824,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.444048564,0.590856423191253,0.86973555337904,1776,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.409380999355641,0.590369495364351,0.904995102840353,1848,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.410901344838969,0.655369921555554,0.893241919686582,1824,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.414171551566132,0.66690406406692,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.425912139690139,0.649877732812877,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
1024,0.401217424728973,0.648548076920911,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_7p5_beta2_2p5_state_moderate,7.5,2.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_7p5_beta2_2p5_state_moderate.R
