n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,eval_error,omega_setting,omega,omega_runner
1024,0.39966758587086,0.66242690105661,0.898139079333986,1834,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.400564795400963,0.67553193822384,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.453720060420112,0.560188114032564,0.883447600391773,1804,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.466848882961592,0.579776830716452,0.861900097943193,1760,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.469649712058109,0.557051108916045,0.855044074436827,1746,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.464971674548454,0.579900212925634,0.86973555337904,1776,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.43398392465045,0.607034200623007,0.887365328109696,1812,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.456907404946379,0.573791694509937,0.866797257590597,1770,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.418076776174504,0.599299825880068,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.400257385820057,0.676169012789755,0.898139079333986,1834,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.4166914957154,0.671293925764318,0.881488736532811,1800,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.414416286345461,0.675439093993719,0.875612144955926,1788,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.397254990909438,0.668134675147272,0.897159647404505,1832,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
1024,0.40325247299165,0.668275654947713,0.898139079333986,1834,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_3p00_very_strong_conflict,3,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_3p00_very_strong_conflict.R
