n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,alpha_setting,alpha1_state,alpha2_barcode,alpha_runner
1024,0.404214421499202,0.684485097826941,0.883447600391773,1804,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.414637885159533,0.673026084332836,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.391474370667297,0.669191993851687,0.904015670910872,1846,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.405260378595284,0.643214754914866,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.44476454773419,0.596569522592797,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.454143680674677,0.581457438799156,0.863858961802155,1764,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.450728972276458,0.593679491418656,0.854064642507346,1744,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.456383627462853,0.583430809455406,0.871694417238002,1780,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.42204067292516,0.660488262148289,0.892262487757101,1822,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.441908597629812,0.589788460350754,0.86973555337904,1776,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.402358005502652,0.642570076338825,0.903036238981391,1844,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.410095702888989,0.655099606397081,0.894221351616063,1826,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.395201641211686,0.710380382935254,0.883447600391773,1804,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.416117646540934,0.676999623449578,0.881488736532811,1800,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.393643194441994,0.669974153434097,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.403110197372781,0.660303728700726,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.5,0.5,100,10,alpha1_0p50_alpha2_0p50,0.5,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p50_alpha2_0p50.R
1024,0.444992361759349,0.575041149591583,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.441649197394132,0.630419335865329,0.870714985308521,1778,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.45101408022301,0.598765641528423,0.857982370225269,1752,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.445454061764453,0.604321559451758,0.876591576885406,1790,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.428112119780828,0.610111081845151,0.889324191968658,1816,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.448951372802869,0.572173271326099,0.866797257590597,1770,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.400874541316265,0.626733639887693,0.904015670910872,1846,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.398712965154204,0.677960936800646,0.895200783545544,1828,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.400252032742636,0.696979000813967,0.884427032321254,1806,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.400062278317654,0.704516538075135,0.884427032321254,1806,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.388291485011508,0.683661261299395,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.40241355400903,0.669565466795084,0.903036238981391,1844,FateScape,imputed_in_pipeline,0.2,0.8,100,10,alpha1_0p80_alpha2_0p20,0.8,0.2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p80_alpha2_0p20.R
1024,0.442626726171059,0.563427868213241,0.881488736532811,1800,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
1024,0.454854380281688,0.591641600930085,0.861900097943193,1760,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
1024,0.453800018800983,0.582019485732678,0.855044074436827,1746,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
1024,0.467320385329257,0.549021841323281,0.870714985308521,1778,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
1024,0.425416903757517,0.638107001952443,0.89128305582762,1820,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
1024,0.443635570728796,0.577095934700486,0.870714985308521,1778,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
1024,0.40938833401479,0.611305657962149,0.90205680705191,1842,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
1024,0.405835070528878,0.658200265900666,0.898139079333986,1834,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
1024,0.419810227315478,0.653892279408736,0.879529872673849,1796,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
1024,0.421496960202161,0.657588461063699,0.877571008814887,1792,FateScape,imputed_in_pipeline,0,1,100,10,alpha1_1p00_alpha2_0p00,1,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_1p00_alpha2_0p00.R
