n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,eval_error,weight_setting,weight_label,hamming_weight_mode,hamming_weight_gamma,hamming_weight_offset,hamming_weight_tau,hamming_weight_runner
1024,0.468882540012803,0.544864618738573,0.866797257590597,1770,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.433305234548128,0.603192840534978,0.889324191968658,1816,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.452460731440172,0.563615912584442,0.866797257590597,1770,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.418285990866131,0.566096654214057,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.413825571238001,0.640215081520157,0.893241919686582,1824,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.414043716579435,0.676977540696153,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.427689131635646,0.644269855502124,0.881488736532811,1800,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.404590821518649,0.638588422155109,0.900097943192948,1838,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.413309836879676,0.640707328946679,0.899118511263467,1836,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.448790309926039,0.572263256260577,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_strong,w(k)=exp(-k),exponential,,,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_strong.R
1024,0.452018187161897,0.614753331974058,0.864838393731636,1766,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_strong,w(k)=exp(-k),exponential,,,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_strong.R
