,S1,S2,S3,S4,S5,S6,S7,S8
cell_289,13,NA,NA,NA,2,2,21,2
cell_290,NA,NA,NA,NA,2,2,21,2
cell_291,13,NA,NA,NA,NA,2,21,2
cell_292,13,NA,NA,NA,2,NA,21,NA
cell_293,13,NA,NA,NA,NA,2,21,2
cell_294,13,NA,NA,NA,2,2,21,2
cell_295,NA,NA,NA,NA,2,2,NA,2
cell_296,13,NA,NA,NA,2,2,21,2
cell_297,13,NA,NA,NA,2,2,21,2
cell_298,13,NA,NA,NA,NA,2,21,2
cell_299,13,NA,NA,NA,2,2,21,NA
cell_300,13,NA,NA,NA,2,2,21,2
cell_301,NA,NA,NA,NA,2,2,21,NA
cell_302,13,NA,NA,NA,2,2,21,2
cell_303,NA,NA,NA,NA,2,2,NA,2
cell_304,13,NA,NA,NA,2,NA,21,2
cell_305,13,NA,NA,NA,2,NA,21,9
cell_306,NA,NA,NA,NA,NA,2,21,9
cell_307,13,NA,NA,NA,2,2,21,9
cell_308,13,NA,NA,NA,2,2,21,9
cell_309,13,NA,NA,NA,2,NA,21,NA
cell_310,13,NA,NA,NA,2,2,21,9
cell_311,13,NA,NA,NA,NA,2,NA,9
cell_312,13,NA,NA,NA,2,2,NA,9
cell_313,13,NA,NA,NA,2,2,21,5
cell_314,13,NA,NA,NA,NA,2,NA,5
cell_315,13,NA,NA,NA,2,2,NA,5
cell_316,13,NA,NA,NA,NA,2,21,NA
cell_317,13,NA,NA,NA,2,2,21,5
cell_318,NA,NA,NA,NA,2,2,21,NA
cell_319,13,NA,NA,NA,2,2,21,5
cell_320,13,NA,NA,NA,2,2,21,5
cell_321,13,5,3,NA,NA,25,21,2
cell_322,13,5,NA,14,2,25,21,2
cell_323,13,5,NA,14,2,25,21,2
cell_324,13,5,3,14,2,25,21,2
cell_325,13,NA,3,14,2,NA,21,2
cell_326,13,5,NA,14,2,NA,NA,2
cell_327,13,5,3,14,2,2,21,2
cell_328,13,5,3,NA,2,2,21,2
cell_329,13,NA,NA,14,2,0,21,2
cell_330,13,5,3,14,2,NA,21,2
cell_331,13,NA,3,14,2,2,21,NA
cell_332,13,5,NA,14,2,NA,21,2
cell_333,13,5,NA,14,2,NA,21,2
cell_334,13,5,3,NA,NA,0,21,2
cell_335,13,5,3,NA,2,NA,21,2
cell_336,13,5,NA,14,2,0,21,2
cell_337,13,5,3,14,2,2,21,2
cell_338,13,5,3,NA,2,2,21,2
cell_339,13,5,NA,14,2,2,21,2
cell_340,NA,5,3,14,2,2,NA,2
cell_341,13,5,3,14,2,2,NA,NA
cell_342,13,NA,3,14,2,2,21,2
cell_343,13,5,3,NA,2,2,21,2
cell_344,NA,5,NA,NA,2,2,NA,2
cell_345,NA,5,3,14,2,2,21,2
cell_346,13,5,NA,NA,2,2,21,2
cell_347,13,NA,3,14,2,NA,NA,2
cell_348,NA,NA,3,NA,2,2,21,2
cell_349,13,5,3,14,2,2,NA,2
cell_350,13,5,3,14,2,2,21,2
cell_351,13,5,3,14,2,NA,21,NA
cell_352,NA,5,3,14,2,2,NA,NA
cell_353,13,5,3,NA,2,2,21,2
cell_354,NA,NA,3,NA,2,2,NA,NA
cell_355,13,5,3,NA,2,NA,21,2
cell_356,13,5,3,NA,2,2,21,2
cell_357,13,5,3,14,NA,NA,21,2
cell_358,13,5,3,14,NA,2,21,2
cell_359,13,5,3,14,2,2,NA,NA
cell_360,NA,5,3,14,2,2,21,2
cell_361,13,5,3,14,2,2,21,2
cell_362,13,NA,3,14,NA,2,21,2
cell_363,13,5,3,14,2,2,21,2
cell_364,NA,5,3,14,2,2,21,2
cell_365,13,5,3,14,2,2,21,NA
cell_366,13,5,3,14,2,NA,21,2
cell_367,13,5,3,NA,2,2,21,2
cell_368,13,5,NA,14,2,NA,21,2
cell_369,13,5,3,14,2,2,21,2
cell_370,NA,5,NA,14,2,NA,21,2
cell_371,NA,5,3,14,2,2,21,2
cell_372,13,5,3,14,2,2,21,2
cell_373,13,5,3,NA,2,NA,21,2
cell_374,13,5,3,14,2,2,21,2
cell_375,13,5,3,14,2,2,NA,2
cell_376,NA,5,3,14,2,2,21,2
cell_377,13,NA,3,14,2,2,21,2
cell_378,13,5,NA,14,2,NA,21,2
cell_379,13,NA,3,14,NA,NA,21,NA
cell_380,13,5,3,14,NA,2,21,2
cell_381,13,5,NA,14,2,2,21,2
cell_382,13,5,3,14,NA,2,21,NA
cell_383,13,5,3,14,2,2,21,2
cell_384,13,5,3,14,NA,2,21,2
cell_385,13,2,2,12,2,13,NA,2
cell_386,13,2,2,0,2,13,2,NA
cell_387,13,2,2,2,2,0,5,2
cell_388,13,NA,2,2,NA,7,0,2
cell_389,13,NA,2,NA,NA,NA,5,0
cell_390,13,NA,2,NA,NA,NA,5,5
cell_391,13,NA,2,0,2,3,5,4
cell_392,NA,2,NA,0,2,NA,NA,NA
cell_393,13,NA,2,2,2,0,2,0
cell_394,13,2,2,NA,NA,0,2,NA
cell_395,13,2,2,0,2,NA,2,2
cell_396,13,2,2,2,2,2,2,0
cell_397,NA,NA,2,4,NA,NA,0,0
cell_398,NA,2,2,NA,NA,0,NA,0
cell_399,NA,2,NA,NA,2,3,0,0
cell_400,13,2,2,4,2,2,0,0
cell_401,13,2,2,0,2,2,12,12
cell_402,13,2,2,0,2,2,NA,3
cell_403,13,2,NA,NA,2,2,NA,2
cell_404,13,2,2,5,NA,NA,12,2
cell_405,13,2,2,5,2,2,0,4
cell_406,13,2,2,0,2,2,0,4
cell_407,13,2,2,NA,2,2,NA,4
cell_408,13,2,2,0,2,2,0,4
cell_409,NA,2,2,0,2,3,3,29
cell_410,NA,2,2,3,2,3,3,29
cell_411,13,2,NA,2,2,3,3,NA
cell_412,13,NA,2,2,2,3,3,29
cell_413,NA,NA,2,2,2,0,3,3
cell_414,13,2,NA,0,2,NA,3,3
cell_415,13,2,2,NA,2,NA,3,3
cell_416,13,2,2,0,2,0,3,3
cell_417,13,2,NA,0,2,0,2,3
cell_418,13,2,3,NA,2,0,2,3
cell_419,13,NA,3,0,2,0,NA,3
cell_420,13,NA,3,0,2,9,2,3
cell_421,13,2,NA,NA,2,2,2,0
cell_422,13,2,3,2,2,2,2,NA
cell_423,13,2,NA,2,2,NA,2,NA
cell_424,13,NA,3,2,NA,2,2,0
cell_425,13,2,3,0,NA,0,2,NA
cell_426,13,2,NA,0,2,3,2,NA
cell_427,13,2,3,0,2,26,2,0
cell_428,NA,NA,3,0,2,NA,2,0
cell_429,13,2,3,0,2,NA,2,0
cell_430,13,NA,3,0,2,NA,NA,NA
cell_431,NA,2,3,2,2,0,NA,4
cell_432,13,2,3,NA,2,0,2,4
cell_433,13,2,NA,2,2,0,65,5
cell_434,13,2,3,2,2,0,65,5
cell_435,13,NA,3,2,2,NA,65,0
cell_436,13,2,3,NA,2,0,NA,0
cell_437,NA,2,3,2,NA,5,0,0
cell_438,NA,2,3,NA,NA,0,NA,NA
cell_439,NA,2,3,2,2,2,0,2
cell_440,13,2,3,2,NA,2,0,2
cell_441,13,2,3,2,2,0,2,NA
cell_442,13,2,3,2,2,0,2,0
cell_443,13,2,3,2,2,NA,2,0
cell_444,13,2,NA,2,2,0,NA,0
cell_445,NA,NA,3,2,2,2,NA,0
cell_446,13,2,3,2,NA,2,2,0
cell_447,13,2,3,2,2,2,2,NA
cell_448,13,2,3,2,2,0,2,0
cell_449,13,0,14,5,NA,NA,2,0
cell_450,13,3,0,5,2,2,2,0
cell_451,NA,2,0,3,2,0,2,26
cell_452,13,2,0,NA,2,0,2,0
cell_453,NA,NA,0,5,2,0,NA,0
cell_454,NA,NA,0,5,2,0,2,0
cell_455,13,0,0,NA,2,NA,2,0
cell_456,NA,0,0,2,2,NA,NA,4
cell_457,13,5,NA,NA,NA,NA,2,2
cell_458,13,5,5,2,2,2,2,0
cell_459,13,NA,5,2,2,2,2,0
cell_460,13,0,5,2,NA,2,2,5
cell_461,NA,5,5,0,2,2,NA,NA
cell_462,13,5,NA,0,2,2,2,64
cell_463,13,NA,5,NA,2,NA,NA,0
cell_464,13,0,5,2,2,NA,2,0
cell_465,13,0,3,0,2,NA,2,4
cell_466,13,0,3,NA,NA,0,2,4
cell_467,13,5,3,0,2,0,NA,4
cell_468,NA,5,NA,0,2,0,2,4
cell_469,13,0,3,0,2,4,5,0
cell_470,NA,NA,3,2,2,4,0,NA
cell_471,NA,0,3,0,2,2,2,2
cell_472,13,0,3,0,NA,2,0,3
cell_473,13,NA,2,8,2,0,2,NA
cell_474,13,2,NA,NA,2,0,2,NA
cell_475,NA,NA,2,NA,2,0,NA,0
cell_476,13,2,NA,8,2,0,2,NA
cell_477,NA,2,0,8,2,14,NA,5
cell_478,NA,2,0,8,2,NA,2,NA
cell_479,13,2,2,8,2,0,NA,NA
cell_480,13,2,2,8,2,NA,NA,5
cell_481,13,NA,3,0,NA,4,0,2
cell_482,13,0,3,0,2,4,2,0
cell_483,13,5,3,0,NA,NA,0,0
cell_484,13,0,NA,2,NA,4,5,0
cell_485,13,0,NA,0,2,5,3,2
cell_486,13,0,3,0,2,NA,3,2
cell_487,13,0,3,2,NA,5,0,2
cell_488,NA,0,NA,2,2,NA,0,NA
cell_489,13,0,3,4,2,NA,2,0
cell_490,13,0,3,2,NA,0,2,NA
cell_491,13,5,3,0,2,2,2,0
cell_492,13,NA,3,0,NA,NA,2,0
cell_493,13,0,3,0,2,7,2,0
cell_494,13,0,3,0,NA,7,NA,0
cell_495,13,0,3,0,2,NA,2,0
cell_496,13,0,3,0,2,7,2,0
cell_497,13,2,2,5,2,2,NA,NA
cell_498,13,NA,2,5,NA,2,2,0
cell_499,13,2,NA,5,2,2,2,0
cell_500,13,NA,2,5,2,2,2,NA
cell_501,13,2,NA,5,2,NA,2,0
cell_502,13,2,2,NA,2,NA,2,0
cell_503,13,2,2,5,2,2,NA,13
cell_504,13,2,2,5,2,NA,NA,13
cell_505,NA,NA,NA,5,2,NA,NA,5
cell_506,13,NA,2,5,2,2,2,5
cell_507,NA,2,3,5,2,NA,2,5
cell_508,13,2,3,5,NA,NA,2,5
cell_509,13,2,0,5,2,NA,2,5
cell_510,13,2,NA,5,2,2,2,5
cell_511,13,2,10,5,2,2,2,5
cell_512,13,NA,0,5,2,2,2,5
cell_513,2,0,2,2,2,2,2,5
cell_514,2,0,2,2,2,NA,NA,5
cell_515,2,NA,0,NA,2,2,2,NA
cell_516,2,0,NA,2,2,2,2,2
cell_517,2,2,0,2,2,NA,2,0
cell_518,2,2,0,2,NA,2,2,NA
cell_519,2,NA,0,2,2,NA,2,2
cell_520,2,2,0,NA,2,2,2,0
cell_521,4,NA,0,2,2,NA,2,19
cell_522,4,NA,0,2,2,2,2,19
cell_523,4,2,0,NA,NA,2,2,19
cell_524,4,2,0,2,2,2,2,19
cell_525,4,2,3,2,2,2,2,2
cell_526,4,NA,3,2,2,2,NA,NA
cell_527,4,NA,0,2,2,2,2,2
cell_528,4,NA,0,NA,2,2,2,NA
