,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_248,NA,14,5,2,NA,NA,2,3,3,2,2,NA
cell_249,2,NA,5,2,0,19,2,3,3,2,NA,NA
cell_250,2,14,5,2,NA,NA,2,3,3,NA,2,2
cell_251,2,NA,5,2,NA,NA,2,3,3,12,2,2
cell_252,2,14,5,2,NA,NA,2,NA,3,NA,2,2
cell_253,NA,NA,5,2,0,0,NA,3,NA,2,2,NA
cell_254,NA,14,5,2,0,3,2,3,3,5,2,2
cell_255,2,14,5,2,2,NA,NA,NA,3,29,2,2
cell_256,2,14,5,2,NA,5,2,NA,3,NA,2,NA
cell_257,0,13,NA,4,NA,NA,0,NA,3,2,2,2
cell_258,0,13,2,NA,2,3,NA,0,3,2,NA,2
cell_259,NA,13,0,0,2,3,NA,NA,NA,NA,2,NA
cell_260,0,13,5,0,2,3,0,0,NA,2,NA,2
cell_261,0,NA,2,NA,NA,3,0,NA,NA,NA,2,NA
cell_262,NA,13,2,0,2,3,0,NA,3,2,2,2
cell_263,0,13,2,5,2,3,2,0,3,2,NA,2
cell_264,0,13,2,5,2,NA,0,2,3,2,NA,2
cell_265,NA,NA,NA,NA,2,3,3,0,NA,NA,2,2
cell_266,NA,NA,NA,NA,NA,NA,8,NA,NA,2,2,2
cell_267,NA,NA,NA,NA,NA,3,0,3,3,NA,2,2
cell_268,NA,NA,NA,NA,2,3,NA,0,3,2,NA,NA
cell_269,NA,9,100,3,2,3,2,56,3,NA,NA,2
cell_270,0,9,100,3,2,3,NA,NA,NA,NA,2,NA
cell_271,0,9,2,0,2,3,2,56,NA,2,2,2
cell_272,0,9,NA,2,2,3,2,NA,3,2,2,2
cell_273,4,11,5,42,2,NA,NA,2,3,0,NA,2
cell_274,4,NA,NA,NA,2,NA,0,0,3,0,2,2
cell_275,NA,11,5,42,2,NA,3,0,NA,0,2,NA
cell_276,4,11,5,42,2,NA,NA,0,NA,NA,NA,2
cell_277,NA,11,5,NA,2,3,0,0,NA,5,2,NA
cell_278,NA,NA,5,0,2,NA,NA,NA,NA,5,2,NA
cell_279,4,NA,NA,NA,2,3,0,NA,NA,NA,2,2
cell_280,4,NA,5,2,NA,NA,NA,NA,NA,5,NA,2
cell_281,0,10,0,NA,NA,3,3,2,3,3,NA,2
cell_282,0,0,0,2,NA,3,NA,2,3,3,NA,NA
cell_283,0,0,0,NA,NA,NA,3,NA,3,3,2,2
cell_284,0,NA,0,8,2,3,NA,NA,3,3,2,2
cell_285,0,0,0,8,2,3,3,2,3,3,2,NA
cell_286,NA,0,0,0,2,3,NA,2,3,0,2,2
cell_287,2,2,NA,0,NA,NA,3,NA,NA,2,NA,2
cell_288,NA,2,2,0,2,3,3,2,3,2,2,2
cell_289,3,NA,2,NA,2,2,3,NA,3,NA,2,2
cell_290,3,NA,2,5,NA,2,3,8,3,2,NA,NA
cell_291,3,NA,2,5,2,2,3,NA,3,0,2,NA
cell_292,3,5,2,5,2,NA,3,0,3,0,2,2
cell_293,NA,2,5,0,NA,2,3,0,NA,3,2,NA
cell_294,3,2,NA,0,2,2,3,10,3,NA,2,NA
cell_295,3,2,5,0,2,NA,NA,0,3,0,2,2
