,S1,S2,S3,S4,S5,S6,S7,S8
cell_598,NA,4,2,2,2,NA,2,4
cell_599,2,4,2,2,NA,5,2,4
cell_600,2,NA,2,NA,2,5,2,4
cell_601,2,4,NA,NA,2,5,2,4
cell_602,2,4,2,2,2,5,2,NA
cell_603,NA,4,2,NA,NA,NA,2,4
cell_604,2,4,2,NA,2,5,NA,4
cell_605,2,4,2,2,2,5,NA,4
cell_606,2,4,2,2,2,NA,NA,4
cell_607,2,4,2,NA,2,5,2,4
cell_608,2,NA,2,2,2,5,2,NA
cell_609,2,4,2,2,NA,5,2,NA
cell_610,2,NA,2,2,2,5,2,4
cell_611,NA,NA,2,2,2,NA,2,NA
cell_612,2,NA,2,2,2,NA,2,4
cell_613,2,NA,2,2,NA,5,NA,4
cell_614,2,4,NA,2,2,5,5,4
cell_615,2,4,2,2,2,5,5,4
cell_616,NA,4,NA,2,2,5,5,4
cell_617,2,4,2,2,2,5,0,4
cell_618,2,4,2,NA,2,5,27,4
cell_619,2,4,2,2,2,5,0,4
cell_620,2,4,2,2,2,5,5,4
cell_621,2,NA,2,2,2,NA,2,4
cell_622,2,4,2,2,2,5,2,4
cell_623,2,4,2,2,NA,5,0,4
cell_624,2,NA,2,2,2,5,NA,4
cell_625,2,4,2,2,2,5,0,4
cell_626,2,4,NA,NA,2,5,0,4
cell_627,NA,4,2,2,NA,NA,0,NA
cell_628,2,4,2,2,2,5,0,4
cell_629,2,4,2,2,2,5,NA,4
cell_630,NA,4,2,NA,2,5,0,4
cell_631,2,4,2,2,2,5,0,4
cell_632,2,NA,2,2,2,5,0,NA
cell_633,2,NA,2,NA,2,5,4,4
cell_634,2,4,2,2,2,NA,4,4
cell_635,NA,4,2,2,NA,5,NA,4
cell_636,2,4,NA,NA,2,5,4,4
cell_637,2,4,NA,2,2,5,NA,4
cell_638,2,4,2,2,2,5,4,4
cell_639,2,NA,NA,2,2,5,4,4
cell_640,2,NA,2,2,2,NA,4,4
cell_641,2,4,2,2,2,5,4,2
cell_642,2,4,2,2,NA,5,4,2
cell_643,NA,4,2,NA,2,NA,4,NA
cell_644,2,4,2,NA,2,5,4,2
cell_645,2,4,NA,2,2,5,4,0
cell_646,2,4,2,2,2,5,4,0
cell_647,2,NA,2,NA,2,5,4,2
cell_648,2,4,2,2,2,NA,4,NA
cell_649,2,4,2,NA,2,5,NA,0
cell_650,2,NA,2,2,2,5,4,2
cell_651,2,4,2,2,2,NA,4,0
cell_652,2,4,2,2,2,5,4,NA
cell_653,NA,4,NA,2,2,5,4,NA
cell_654,NA,NA,2,2,NA,NA,4,0
cell_655,2,NA,2,2,2,5,NA,0
cell_656,2,4,2,NA,2,NA,NA,NA
cell_657,2,4,2,NA,NA,5,4,2
cell_658,NA,4,2,2,2,5,4,2
cell_659,2,NA,2,2,NA,5,4,2
cell_660,2,4,2,2,2,5,4,2
cell_661,2,4,NA,2,NA,NA,NA,2
cell_662,2,4,2,2,NA,5,4,2
cell_663,NA,4,2,2,2,NA,NA,2
cell_664,2,4,2,2,NA,5,4,2
cell_665,2,NA,2,2,2,5,NA,2
cell_666,2,4,2,2,2,5,4,NA
cell_667,2,NA,2,2,2,NA,NA,2
cell_668,NA,4,2,NA,2,5,NA,NA
cell_669,NA,NA,2,NA,2,NA,NA,2
cell_670,2,4,2,2,2,5,4,2
cell_671,NA,4,2,2,2,5,4,2
cell_672,2,4,2,NA,2,NA,4,2
cell_673,NA,NA,2,2,2,5,4,2
cell_674,NA,4,NA,2,2,5,4,2
cell_675,NA,4,2,2,2,5,4,2
cell_676,2,NA,2,2,NA,5,4,2
cell_677,2,4,2,2,2,5,NA,2
cell_678,2,4,2,2,2,5,4,2
cell_679,NA,NA,2,2,2,5,4,2
cell_680,NA,NA,2,2,2,5,4,NA
cell_681,2,NA,2,2,2,5,4,NA
cell_682,2,4,NA,2,NA,5,4,2
cell_683,2,4,2,2,NA,5,4,2
cell_684,2,4,2,NA,NA,5,4,2
cell_685,2,4,2,NA,2,5,NA,2
cell_686,NA,4,NA,2,2,5,4,2
cell_687,2,4,NA,2,NA,5,4,2
cell_688,2,4,2,NA,2,5,4,2
cell_689,2,4,2,2,NA,5,NA,2
cell_690,2,4,NA,2,2,NA,4,2
cell_691,2,4,2,2,2,5,4,2
cell_692,2,4,2,2,2,5,4,2
cell_693,2,4,2,2,NA,NA,4,2
cell_694,2,4,2,2,NA,NA,4,2
cell_695,2,4,2,2,NA,5,4,2
cell_696,2,4,2,2,NA,5,4,2
cell_697,2,NA,2,NA,NA,5,4,2
cell_698,2,4,2,2,2,5,NA,2
cell_699,2,4,2,2,2,NA,4,2
cell_700,2,4,2,2,2,5,4,2
cell_701,2,4,2,2,2,5,NA,2
cell_702,2,4,2,2,NA,5,NA,2
cell_703,2,4,2,2,2,NA,4,NA
cell_704,2,NA,2,2,NA,5,4,2
cell_705,2,4,2,2,2,5,2,2
cell_706,2,4,2,NA,2,5,2,2
cell_707,2,4,2,NA,NA,5,2,NA
cell_708,2,NA,2,NA,2,5,2,2
cell_709,NA,4,2,NA,2,5,NA,2
cell_710,2,4,2,2,NA,5,2,NA
cell_711,2,4,2,2,2,5,2,2
cell_712,NA,NA,NA,2,2,NA,2,2
cell_713,2,4,2,2,2,NA,2,2
cell_714,NA,4,2,2,2,5,NA,2
cell_715,2,4,2,2,2,5,NA,2
cell_716,2,4,2,2,2,5,2,NA
cell_717,2,NA,NA,2,2,5,NA,2
cell_718,2,4,2,NA,2,5,2,2
cell_719,2,4,2,NA,2,5,2,NA
cell_720,2,4,2,2,2,5,2,2
cell_721,2,4,2,2,2,NA,2,2
cell_722,2,4,NA,2,2,5,2,NA
cell_723,2,4,NA,2,2,5,NA,2
cell_724,2,NA,2,2,NA,5,2,NA
cell_725,2,4,2,2,2,NA,2,2
cell_726,2,4,NA,2,2,5,2,2
cell_727,2,4,2,NA,2,5,2,2
cell_728,2,4,2,2,2,5,NA,2
cell_729,2,4,2,2,2,5,2,2
cell_730,2,4,NA,NA,2,5,2,NA
cell_731,2,4,2,NA,2,5,NA,NA
cell_732,2,NA,2,2,NA,NA,2,2
cell_733,2,4,2,2,2,5,2,2
cell_734,NA,4,NA,2,2,5,2,2
cell_735,2,4,NA,2,2,NA,NA,2
cell_736,NA,4,2,2,NA,5,2,2
cell_737,2,4,2,2,2,5,2,5
cell_738,2,NA,NA,2,NA,5,2,NA
cell_739,2,4,2,NA,2,5,2,5
cell_740,2,NA,2,2,NA,5,NA,5
cell_741,2,4,2,NA,2,5,2,5
cell_742,2,4,2,2,2,5,NA,5
cell_743,2,4,2,NA,2,NA,2,5
cell_744,2,4,2,2,2,5,2,5
cell_745,2,4,2,2,2,5,2,2
cell_746,2,4,NA,2,2,5,2,2
cell_747,NA,NA,2,2,NA,5,NA,NA
cell_748,2,4,2,2,2,5,2,0
cell_749,2,NA,2,2,2,5,2,0
cell_750,2,4,NA,2,2,5,2,0
cell_751,NA,4,2,2,2,NA,2,0
cell_752,2,4,2,2,2,5,2,NA
cell_753,2,4,2,NA,2,5,NA,0
cell_754,2,4,2,2,2,NA,2,0
cell_755,2,4,NA,2,2,5,2,0
cell_756,2,NA,NA,2,NA,5,2,0
cell_757,2,4,2,NA,2,5,2,2
cell_758,2,NA,2,NA,2,5,2,0
cell_759,NA,NA,2,2,2,5,2,NA
cell_760,2,NA,NA,2,2,5,2,NA
cell_761,2,4,NA,2,2,5,2,2
cell_762,2,4,2,2,2,NA,2,2
cell_763,2,4,2,2,2,5,2,0
cell_764,2,4,2,2,2,NA,2,NA
cell_765,2,4,NA,2,2,5,2,0
cell_766,2,4,NA,2,2,5,2,0
cell_767,2,4,NA,2,2,5,2,0
cell_768,2,4,2,NA,2,5,2,0
cell_769,2,2,0,2,2,8,4,5
cell_770,NA,2,0,NA,2,8,4,5
cell_771,NA,2,0,2,2,8,4,NA
cell_772,0,2,0,2,2,8,4,5
cell_773,2,2,0,NA,2,8,NA,NA
cell_774,NA,2,0,2,2,8,0,NA
cell_775,5,2,0,2,2,8,0,5
cell_776,NA,2,NA,2,2,NA,0,5
cell_777,2,2,0,NA,2,8,0,5
cell_778,2,2,NA,2,2,NA,NA,5
cell_779,2,2,0,2,2,NA,NA,5
cell_780,2,2,0,2,2,NA,0,NA
cell_781,2,2,2,2,NA,8,2,NA
cell_782,2,NA,0,2,2,8,2,5
cell_783,2,2,0,2,NA,8,NA,NA
cell_784,2,NA,0,2,2,8,0,5
cell_785,NA,2,NA,2,NA,NA,4,5
cell_786,2,2,0,2,2,8,NA,5
cell_787,NA,2,2,2,2,8,4,5
cell_788,0,2,2,2,NA,8,4,5
cell_789,NA,2,0,2,2,8,4,5
cell_790,2,2,0,2,2,8,NA,5
cell_791,6,2,0,NA,2,8,NA,5
cell_792,6,2,0,2,2,8,NA,5
cell_793,0,2,NA,NA,2,8,0,5
cell_794,0,2,0,2,2,8,0,5
cell_795,5,2,2,2,2,8,2,NA
cell_796,0,2,2,2,2,NA,0,5
cell_797,0,2,0,2,2,8,0,5
cell_798,0,NA,12,NA,2,8,0,NA
cell_799,0,NA,NA,2,2,8,4,5
cell_800,0,NA,0,2,2,8,4,5
cell_801,2,2,6,2,NA,8,NA,5
cell_802,2,NA,NA,2,5,8,NA,5
cell_803,NA,NA,6,2,5,NA,2,NA
cell_804,2,NA,6,2,5,8,2,5
cell_805,NA,NA,6,NA,5,8,2,5
cell_806,2,NA,NA,2,5,8,0,NA
cell_807,2,2,6,2,5,8,2,5
cell_808,NA,2,NA,2,5,8,0,5
cell_809,2,2,6,2,5,8,NA,5
cell_810,2,2,6,2,5,8,0,5
cell_811,2,2,NA,2,5,8,0,5
cell_812,NA,2,NA,2,5,NA,0,5
cell_813,NA,2,6,2,5,8,2,NA
cell_814,2,2,NA,2,NA,NA,2,5
cell_815,2,2,6,2,5,8,2,5
cell_816,2,2,6,2,5,8,NA,5
cell_817,2,NA,6,2,5,NA,2,5
cell_818,2,2,6,2,5,8,2,5
cell_819,NA,2,6,2,5,8,2,5
cell_820,2,2,6,2,5,8,2,5
cell_821,2,2,6,2,5,8,2,5
cell_822,2,NA,6,2,5,8,2,5
cell_823,2,2,6,2,5,8,2,5
cell_824,2,2,6,2,5,8,NA,5
cell_825,2,2,6,2,5,8,NA,5
cell_826,NA,2,6,2,NA,8,2,5
cell_827,NA,2,6,2,NA,8,NA,5
cell_828,2,2,6,2,5,NA,2,5
cell_829,NA,2,6,NA,5,8,NA,NA
cell_830,2,2,6,2,NA,8,2,5
cell_831,2,NA,6,2,5,8,2,5
cell_832,2,NA,6,2,NA,8,2,NA
cell_833,0,NA,5,2,2,8,NA,5
cell_834,2,2,5,2,2,8,10,NA
cell_835,0,2,5,2,2,NA,10,5
cell_836,0,2,NA,NA,2,8,10,5
cell_837,NA,2,5,NA,2,8,10,5
cell_838,0,NA,5,4,2,8,10,5
cell_839,0,2,NA,4,2,NA,10,NA
cell_840,4,2,5,4,NA,8,10,5
cell_841,3,NA,5,2,NA,NA,10,5
cell_842,3,NA,5,2,2,8,10,5
cell_843,3,2,5,NA,2,8,10,5
cell_844,3,2,NA,2,2,8,10,NA
cell_845,3,2,5,NA,2,8,10,NA
cell_846,3,2,5,2,2,8,10,NA
cell_847,3,2,5,2,2,8,NA,5
cell_848,3,2,5,2,2,8,10,5
cell_849,2,2,2,2,2,8,10,NA
cell_850,2,2,2,NA,2,8,10,5
cell_851,NA,2,NA,NA,2,8,10,NA
cell_852,2,2,NA,NA,2,8,10,5
cell_853,2,2,2,NA,2,8,10,5
cell_854,NA,2,2,2,2,8,NA,5
cell_855,2,2,2,0,2,8,10,5
cell_856,2,NA,2,NA,2,8,10,NA
cell_857,0,2,2,2,2,8,10,5
cell_858,0,NA,2,NA,NA,8,10,5
cell_859,5,2,2,2,2,8,10,5
cell_860,0,2,2,2,NA,8,10,5
cell_861,0,NA,0,2,2,8,10,5
cell_862,NA,NA,26,2,2,8,10,5
cell_863,0,2,NA,2,2,8,10,5
cell_864,5,2,5,2,2,8,10,5
cell_865,NA,2,2,NA,2,8,10,5
cell_866,2,2,2,NA,2,8,10,NA
cell_867,2,NA,10,2,NA,8,10,NA
cell_868,0,2,NA,2,2,8,10,5
cell_869,0,2,NA,2,2,8,10,NA
cell_870,2,2,0,NA,2,8,NA,5
cell_871,0,2,2,2,2,8,NA,5
cell_872,0,2,0,2,2,8,10,5
cell_873,5,2,0,2,2,8,10,5
cell_874,5,2,0,2,2,8,10,5
cell_875,5,NA,22,2,2,NA,10,5
cell_876,5,2,22,2,2,8,10,5
cell_877,0,2,8,2,NA,8,10,NA
cell_878,NA,2,8,2,2,8,NA,5
cell_879,0,NA,8,2,2,NA,NA,5
cell_880,NA,2,8,2,2,8,10,5
cell_881,2,2,NA,NA,NA,8,10,5
cell_882,2,NA,2,2,2,8,10,5
cell_883,2,2,0,2,2,NA,10,NA
cell_884,2,2,0,NA,NA,8,10,5
cell_885,0,2,11,2,2,8,10,5
cell_886,0,2,11,2,2,8,10,5
cell_887,NA,2,0,NA,2,8,10,5
cell_888,0,2,0,2,2,8,10,NA
cell_889,0,NA,26,2,2,8,10,5
cell_890,0,2,26,2,2,8,10,5
cell_891,0,2,26,2,2,8,10,NA
cell_892,0,2,26,2,2,NA,10,5
cell_893,NA,2,26,NA,2,8,NA,5
cell_894,0,NA,NA,2,NA,8,10,5
cell_895,NA,2,26,2,NA,NA,10,5
cell_896,0,NA,26,2,2,8,10,5
cell_897,5,2,NA,5,3,8,8,3
cell_898,5,2,NA,5,3,8,NA,3
cell_899,5,2,NA,0,3,8,0,3
cell_900,5,NA,3,0,NA,8,NA,NA
cell_901,NA,2,3,4,3,8,0,0
cell_902,5,2,3,4,3,8,0,0
cell_903,5,2,3,4,3,8,0,0
cell_904,5,2,3,4,3,8,NA,12
cell_905,5,2,NA,2,3,NA,0,0
cell_906,5,2,2,NA,NA,8,NA,0
cell_907,5,NA,0,2,3,8,0,0
cell_908,5,NA,2,NA,3,8,3,10
cell_909,NA,2,3,0,3,8,NA,8
cell_910,5,2,3,0,3,8,0,8
cell_911,5,2,0,NA,3,8,0,8
cell_912,5,2,0,2,3,8,0,8
cell_913,0,2,3,NA,3,8,5,2
cell_914,2,2,3,NA,NA,8,5,NA
cell_915,0,2,2,13,3,8,5,2
cell_916,0,2,2,NA,3,NA,5,2
cell_917,0,2,0,NA,3,NA,5,2
cell_918,0,2,0,13,3,8,5,2
cell_919,0,2,2,NA,3,8,5,2
cell_920,0,2,0,NA,3,8,NA,2
cell_921,NA,2,2,NA,3,8,0,2
cell_922,NA,2,2,94,3,8,0,2
cell_923,5,NA,2,94,3,8,0,2
cell_924,5,2,NA,NA,3,NA,0,2
cell_925,5,NA,2,94,NA,8,NA,2
cell_926,5,2,NA,94,NA,8,2,2
cell_927,5,2,2,94,3,8,2,2
cell_928,5,2,2,94,3,8,2,2
cell_929,NA,2,NA,0,45,8,4,5
cell_930,0,NA,0,0,NA,8,4,5
cell_931,12,2,0,0,NA,NA,4,NA
cell_932,NA,2,0,0,0,8,4,5
cell_933,NA,2,0,5,0,8,0,5
cell_934,2,2,0,5,0,8,0,5
cell_935,3,2,2,NA,NA,8,2,5
cell_936,3,2,0,NA,0,8,0,5
cell_937,0,2,0,0,0,8,4,5
cell_938,0,2,NA,0,5,8,4,5
cell_939,2,2,0,8,0,NA,2,5
cell_940,2,2,2,0,0,8,2,5
cell_941,0,2,0,NA,NA,NA,NA,5
cell_942,2,2,NA,0,NA,NA,0,NA
cell_943,3,NA,0,2,0,8,NA,5
cell_944,3,NA,0,2,NA,8,0,5
cell_945,0,2,2,2,5,8,0,3
cell_946,0,2,2,2,0,NA,NA,3
cell_947,0,2,2,2,0,NA,0,NA
cell_948,NA,2,2,2,5,NA,0,3
cell_949,0,NA,0,NA,2,8,2,3
cell_950,0,2,0,2,2,8,2,NA
cell_951,NA,NA,0,2,0,8,2,NA
cell_952,NA,2,0,NA,0,8,NA,3
cell_953,0,2,0,2,0,8,0,3
cell_954,0,2,NA,2,2,NA,0,3
cell_955,0,2,0,2,0,8,NA,3
cell_956,0,2,0,2,0,8,2,3
cell_957,NA,2,2,NA,2,NA,3,3
cell_958,0,2,NA,2,NA,8,3,3
cell_959,0,2,0,NA,NA,8,NA,NA
cell_960,3,2,0,2,2,NA,NA,3
cell_961,8,2,2,NA,NA,8,NA,2
cell_962,8,NA,2,NA,NA,8,5,NA
cell_963,8,NA,NA,NA,NA,8,5,NA
cell_964,8,NA,2,NA,NA,8,5,NA
cell_965,8,NA,0,NA,NA,8,5,2
cell_966,8,2,0,NA,NA,8,5,2
cell_967,8,2,2,NA,NA,NA,NA,2
cell_968,8,2,NA,NA,NA,NA,5,2
cell_969,NA,2,5,NA,NA,NA,5,2
cell_970,8,2,NA,NA,NA,8,5,NA
cell_971,NA,2,5,NA,NA,8,5,2
cell_972,8,2,5,NA,NA,8,5,2
cell_973,8,2,0,NA,NA,NA,5,NA
cell_974,8,NA,67,NA,NA,8,5,2
cell_975,8,2,0,NA,NA,8,5,2
cell_976,8,2,0,NA,NA,8,5,2
cell_977,8,2,NA,NA,NA,NA,NA,12
cell_978,8,NA,NA,NA,NA,NA,NA,12
cell_979,8,2,0,NA,NA,8,0,12
cell_980,8,2,0,NA,NA,8,0,NA
cell_981,NA,NA,NA,NA,NA,8,0,12
cell_982,8,2,2,NA,NA,8,0,12
cell_983,8,2,0,NA,NA,8,0,NA
cell_984,8,NA,0,NA,NA,8,0,12
cell_985,8,2,0,NA,NA,8,NA,12
cell_986,8,2,0,NA,NA,8,NA,12
cell_987,8,2,0,NA,NA,8,2,12
cell_988,8,2,0,NA,NA,8,2,12
cell_989,8,NA,NA,NA,NA,NA,3,12
cell_990,8,2,4,NA,NA,8,0,12
cell_991,8,2,0,NA,NA,8,NA,12
cell_992,8,2,0,NA,NA,8,0,12
cell_993,30,2,2,NA,NA,8,2,NA
cell_994,30,2,NA,NA,NA,NA,2,2
cell_995,30,2,2,NA,NA,8,2,3
cell_996,30,2,2,NA,NA,8,2,NA
cell_997,30,2,2,NA,NA,NA,2,9
cell_998,30,2,2,NA,NA,8,2,9
cell_999,30,2,2,NA,NA,8,2,NA
cell_1000,NA,2,2,NA,NA,8,2,NA
cell_1001,NA,2,NA,NA,NA,8,NA,NA
cell_1002,3,NA,2,NA,NA,8,2,0
cell_1003,NA,2,2,NA,NA,8,2,0
cell_1004,3,2,2,NA,NA,8,2,0
cell_1005,NA,2,2,NA,NA,8,2,5
cell_1006,3,2,2,NA,NA,8,2,5
cell_1007,0,2,2,NA,NA,8,2,5
cell_1008,0,NA,2,NA,NA,NA,NA,5
cell_1009,NA,2,0,NA,NA,8,2,3
cell_1010,0,2,NA,NA,NA,8,2,3
cell_1011,0,2,NA,NA,NA,NA,2,3
cell_1012,0,2,0,NA,NA,NA,2,3
cell_1013,2,NA,0,NA,NA,8,2,3
cell_1014,0,2,0,NA,NA,8,2,3
cell_1015,2,NA,0,NA,NA,8,2,3
cell_1016,NA,NA,NA,NA,NA,NA,NA,3
cell_1017,2,2,0,NA,NA,NA,0,0
cell_1018,2,2,0,NA,NA,8,NA,0
cell_1019,2,2,0,NA,NA,8,0,3
cell_1020,2,2,0,NA,NA,8,0,3
cell_1021,0,2,9,NA,NA,NA,2,0
cell_1022,NA,2,NA,NA,NA,8,2,0
cell_1023,0,2,9,NA,NA,8,2,NA
cell_1024,0,NA,9,NA,NA,8,2,5
