cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_198	2	-	2	2	2	0	2	-	2	3	5	5
cell_199	2	2	2	5	2	0	2	3	2	-	5	5
cell_200	2	2	2	0	2	0	2	3	2	3	5	5
cell_201	-	2	-	4	2	0	-	3	-	3	5	5
cell_202	2	2	2	-	2	-	2	3	-	3	5	5
cell_203	2	2	2	3	2	0	2	3	2	3	-	5
cell_204	2	2	2	3	2	0	2	-	2	3	5	5
cell_205	2	2	2	-	2	0	2	3	2	3	5	5
cell_206	2	2	2	3	2	0	2	3	-	3	-	5
cell_207	2	2	-	3	2	-	-	3	2	3	-	5
cell_208	-	-	2	3	2	-	2	3	2	3	5	-
cell_209	-	2	2	5	2	3	2	3	2	3	5	5
cell_210	2	2	2	5	2	3	2	3	2	-	5	5
cell_211	-	2	-	5	2	3	2	-	2	3	5	-
cell_212	2	2	2	5	-	3	2	3	2	3	-	5
cell_213	-	2	2	5	2	3	2	3	2	3	5	5
cell_214	2	2	2	5	2	-	2	3	2	-	5	-
cell_215	2	-	2	5	2	-	2	3	2	3	5	5
cell_216	-	-	2	5	2	-	2	3	2	3	5	5
cell_217	2	2	2	5	-	2	2	-	2	3	5	5
cell_218	2	-	2	5	2	2	2	3	2	3	5	5
cell_219	2	2	-	5	2	2	2	3	2	-	5	5
cell_220	-	2	2	5	2	2	2	3	2	3	-	-
cell_221	2	2	2	5	-	0	-	-	-	3	-	-
cell_222	2	2	-	5	2	0	-	3	2	3	5	5
cell_223	2	-	2	5	2	-	2	3	2	3	5	5
cell_224	2	-	2	5	2	0	2	3	2	3	5	5
cell_225	2	2	2	11	-	2	2	3	-	3	5	5
cell_226	2	2	2	11	2	2	2	-	2	3	-	5
cell_227	2	2	2	0	-	2	2	-	-	3	5	-
cell_228	2	2	2	0	2	2	2	3	2	3	5	5
cell_229	2	2	2	3	2	5	-	3	2	3	5	5
cell_230	2	-	2	0	-	0	-	3	2	3	5	5
cell_231	2	2	2	2	2	0	2	3	-	3	-	-
