cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_239	26	2	4	4	2	-	-	2	2	4	19	4
cell_240	26	2	4	4	2	5	2	2	2	4	19	4
cell_241	26	-	0	4	2	3	2	2	-	4	19	4
cell_242	26	-	-	4	2	3	2	2	2	4	19	4
cell_243	-	2	2	4	2	-	-	2	-	4	-	4
cell_244	26	-	-	4	2	3	2	2	2	4	19	-
cell_245	26	2	19	4	-	2	2	2	-	4	19	4
cell_246	26	2	19	4	2	4	2	2	2	4	19	4
cell_247	26	2	19	4	2	0	2	2	2	-	19	4
cell_248	-	2	19	4	2	0	2	-	2	4	19	4
cell_249	26	2	0	4	2	0	2	2	2	4	19	4
cell_250	26	2	-	-	-	0	2	2	-	-	19	-
cell_251	-	2	-	4	2	-	2	2	2	-	19	-
cell_252	-	2	0	4	-	0	-	-	2	4	19	4
cell_253	26	2	0	4	-	0	-	2	-	4	19	4
cell_254	26	2	0	4	2	-	-	2	2	4	19	4
cell_255	26	-	-	4	-	12	2	2	2	4	19	4
cell_256	26	2	0	4	-	-	2	2	2	4	19	4
cell_257	-	2	2	5	-	-	-	-	-	-	-	3
cell_258	2	-	2	5	-	-	-	-	-	-	-	3
cell_259	2	2	2	5	-	-	-	-	-	-	-	3
cell_260	2	2	2	-	-	-	-	-	-	-	-	3
cell_261	2	2	-	-	-	-	-	-	-	-	-	-
cell_262	-	2	2	5	-	-	-	-	-	-	-	3
cell_263	2	2	2	-	-	-	-	-	-	-	-	3
cell_264	2	2	2	5	-	-	-	-	-	-	-	3
cell_265	2	2	2	0	-	-	-	-	-	-	-	-
cell_266	-	2	2	0	-	-	-	-	-	-	-	-
cell_267	2	2	-	-	-	-	-	-	-	-	-	11
cell_268	2	2	2	8	-	-	-	-	-	-	-	-
cell_269	2	2	2	2	-	-	-	-	-	-	-	0
cell_270	2	2	2	2	-	-	-	-	-	-	-	-
cell_271	2	2	2	2	-	-	-	-	-	-	-	0
cell_272	-	2	2	2	-	-	-	-	-	-	-	3
cell_273	-	2	-	4	-	-	-	-	-	-	-	35
cell_274	-	2	-	-	-	-	-	-	-	-	-	35
cell_275	2	-	2	-	-	-	-	-	-	-	-	35
cell_276	2	2	2	0	-	-	-	-	-	-	-	35
cell_277	2	2	2	-	-	-	-	-	-	-	-	35
cell_278	2	2	2	0	-	-	-	-	-	-	-	-
cell_279	2	2	-	0	-	-	-	-	-	-	-	35
cell_280	2	2	2	0	-	-	-	-	-	-	-	35
cell_281	2	2	2	2	-	-	-	-	-	-	-	35
cell_282	2	-	2	2	-	-	-	-	-	-	-	35
cell_283	2	-	-	2	-	-	-	-	-	-	-	35
cell_284	-	2	2	2	-	-	-	-	-	-	-	35
cell_285	-	2	2	2	-	-	-	-	-	-	-	35
cell_286	2	2	-	2	-	-	-	-	-	-	-	35
cell_287	2	2	-	-	-	-	-	-	-	-	-	35
cell_288	2	-	2	2	-	-	-	-	-	-	-	35
cell_289	2	2	2	12	-	-	-	-	-	-	-	2
cell_290	2	2	2	12	-	-	-	-	-	-	-	2
cell_291	2	-	2	12	-	-	-	-	-	-	-	2
cell_292	2	2	2	12	-	-	-	-	-	-	-	2
cell_293	2	2	-	-	-	-	-	-	-	-	-	-
cell_294	2	2	2	-	-	-	-	-	-	-	-	-
cell_295	2	2	2	12	-	-	-	-	-	-	-	2
cell_296	2	2	2	12	-	-	-	-	-	-	-	-
cell_297	-	2	2	12	-	-	-	-	-	-	-	-
cell_298	-	2	-	12	-	-	-	-	-	-	-	57
cell_299	2	2	2	12	-	-	-	-	-	-	-	57
cell_300	2	2	2	12	-	-	-	-	-	-	-	57
cell_301	2	2	-	12	-	-	-	-	-	-	-	-
cell_302	2	2	-	-	-	-	-	-	-	-	-	57
cell_303	2	-	2	12	-	-	-	-	-	-	-	57
cell_304	2	2	2	12	-	-	-	-	-	-	-	57
cell_305	2	2	-	2	-	-	-	-	-	-	-	0
cell_306	2	2	2	2	-	-	-	-	-	-	-	-
cell_307	2	-	-	-	-	-	-	-	-	-	-	5
cell_308	2	2	2	-	-	-	-	-	-	-	-	5
cell_309	2	2	2	4	-	-	-	-	-	-	-	0
cell_310	-	2	2	4	-	-	-	-	-	-	-	0
cell_311	2	-	2	4	-	-	-	-	-	-	-	0
cell_312	2	2	2	-	-	-	-	-	-	-	-	-
cell_313	2	-	2	0	-	-	-	-	-	-	-	0
cell_314	2	2	2	0	-	-	-	-	-	-	-	0
cell_315	2	2	-	-	-	-	-	-	-	-	-	-
cell_316	2	-	-	-	-	-	-	-	-	-	-	-
cell_317	2	-	2	-	-	-	-	-	-	-	-	3
cell_318	-	2	2	0	-	-	-	-	-	-	-	3
cell_319	2	2	2	0	-	-	-	-	-	-	-	0
cell_320	2	2	2	0	-	-	-	-	-	-	-	0
cell_321	3	2	-	2	-	-	-	-	-	-	-	-
cell_322	3	2	2	-	-	-	-	-	-	-	-	-
cell_323	0	2	2	2	-	-	-	-	-	-	-	0
cell_324	0	2	2	2	-	-	-	-	-	-	-	0
cell_325	-	2	-	2	-	-	-	-	-	-	-	0
cell_326	0	2	2	2	-	-	-	-	-	-	-	0
cell_327	0	-	2	2	-	-	-	-	-	-	-	0
cell_328	10	-	2	2	-	-	-	-	-	-	-	-
cell_329	2	2	2	2	-	-	-	-	-	-	-	0
cell_330	-	2	2	2	-	-	-	-	-	-	-	0
cell_331	2	2	2	2	-	-	-	-	-	-	-	0
cell_332	2	2	2	2	-	-	-	-	-	-	-	-
cell_333	2	2	2	-	-	-	-	-	-	-	-	3
cell_334	2	2	2	2	-	-	-	-	-	-	-	3
cell_335	2	2	-	2	-	-	-	-	-	-	-	0
cell_336	2	2	2	2	-	-	-	-	-	-	-	0
cell_337	0	-	2	2	-	-	-	-	-	-	-	-
cell_338	2	2	2	-	-	-	-	-	-	-	-	2
cell_339	-	2	2	0	-	-	-	-	-	-	-	-
cell_340	0	2	2	0	-	-	-	-	-	-	-	2
cell_341	-	2	-	0	-	-	-	-	-	-	-	-
cell_342	0	2	2	-	-	-	-	-	-	-	-	2
cell_343	0	2	-	15	-	-	-	-	-	-	-	2
cell_344	0	2	2	8	-	-	-	-	-	-	-	2
cell_345	2	-	2	-	-	-	-	-	-	-	-	2
cell_346	2	2	2	0	-	-	-	-	-	-	-	2
cell_347	2	2	2	0	-	-	-	-	-	-	-	2
cell_348	-	-	2	0	-	-	-	-	-	-	-	2
cell_349	0	2	2	0	-	-	-	-	-	-	-	2
cell_350	0	2	2	0	-	-	-	-	-	-	-	-
cell_351	0	2	2	0	-	-	-	-	-	-	-	2
cell_352	0	2	2	5	-	-	-	-	-	-	-	2
cell_353	3	2	2	2	-	-	-	-	-	-	-	0
cell_354	3	2	2	2	-	-	-	-	-	-	-	0
cell_355	-	-	-	2	-	-	-	-	-	-	-	0
cell_356	3	2	-	2	-	-	-	-	-	-	-	45
cell_357	-	-	2	2	-	-	-	-	-	-	-	4
cell_358	3	2	2	-	-	-	-	-	-	-	-	4
cell_359	3	2	2	-	-	-	-	-	-	-	-	4
cell_360	-	-	2	2	-	-	-	-	-	-	-	4
cell_361	3	2	2	-	-	-	-	-	-	-	-	2
cell_362	3	2	2	2	-	-	-	-	-	-	-	2
cell_363	3	-	2	2	-	-	-	-	-	-	-	2
cell_364	3	2	2	2	-	-	-	-	-	-	-	2
cell_365	3	2	2	-	-	-	-	-	-	-	-	2
cell_366	3	2	2	-	-	-	-	-	-	-	-	2
cell_367	3	2	2	-	-	-	-	-	-	-	-	2
