,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_369,2,NA,0,NA,5,NA,3,2,2,2,NA,NA
cell_370,0,2,NA,0,5,NA,3,2,NA,NA,2,3
cell_371,NA,2,0,NA,5,0,3,NA,2,2,NA,3
cell_372,0,2,NA,0,5,0,NA,2,2,2,NA,3
cell_373,12,NA,NA,NA,5,0,NA,2,2,2,NA,NA
cell_374,12,2,0,NA,5,2,3,NA,2,2,2,NA
cell_375,0,2,NA,0,5,2,3,NA,2,2,2,3
cell_376,3,NA,0,NA,5,0,NA,2,NA,2,NA,NA
cell_377,0,2,6,0,5,0,NA,2,NA,2,NA,3
cell_378,NA,2,NA,0,NA,0,NA,2,2,2,2,NA
cell_379,2,2,6,0,5,NA,NA,2,2,2,NA,NA
cell_380,2,2,6,0,5,NA,NA,2,2,2,NA,3
cell_381,0,2,6,2,5,NA,NA,2,NA,2,2,3
cell_382,NA,NA,6,2,5,0,0,2,2,2,2,3
cell_383,0,NA,NA,NA,5,0,NA,2,2,2,2,3
cell_384,0,2,NA,NA,NA,0,NA,2,2,2,2,3
cell_385,2,NA,0,NA,2,2,4,2,8,2,0,3
cell_386,2,4,NA,23,NA,2,NA,2,8,NA,0,3
cell_387,NA,4,0,0,2,2,4,NA,8,2,NA,3
cell_388,NA,NA,0,0,NA,2,4,2,8,2,2,3
cell_389,2,4,NA,5,2,2,4,NA,NA,NA,NA,3
cell_390,NA,NA,0,5,NA,2,4,2,0,2,NA,3
cell_391,0,4,0,2,NA,NA,NA,2,NA,2,0,3
cell_392,0,4,0,2,NA,2,NA,2,0,NA,NA,NA
cell_393,0,4,2,0,NA,2,4,2,NA,NA,2,3
cell_394,0,4,NA,0,2,2,4,2,0,NA,NA,NA
cell_395,0,4,2,0,2,2,4,2,4,2,2,NA
cell_396,0,4,NA,0,NA,2,4,2,4,2,2,3
cell_397,0,NA,0,0,NA,NA,NA,2,NA,2,NA,3
cell_398,0,4,0,0,2,NA,NA,2,2,2,0,3
cell_399,0,NA,8,NA,2,NA,NA,NA,2,2,0,3
cell_400,0,NA,8,0,2,2,NA,2,2,2,0,3
cell_401,NA,NA,2,0,2,2,4,2,0,2,2,3
cell_402,0,4,0,0,NA,2,NA,2,0,2,0,3
cell_403,2,4,0,2,2,2,4,2,0,2,0,3
cell_404,NA,NA,0,NA,NA,2,4,NA,0,2,0,3
cell_405,NA,4,0,NA,NA,2,NA,NA,0,2,NA,NA
cell_406,0,4,6,0,NA,2,4,2,NA,2,0,3
cell_407,NA,4,0,0,2,NA,4,NA,NA,2,0,NA
cell_408,NA,4,NA,2,2,2,4,2,0,2,NA,3
cell_409,NA,NA,0,0,2,2,NA,2,0,2,2,3
cell_410,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,3
cell_411,5,4,0,0,2,2,NA,NA,NA,NA,0,NA
cell_412,5,NA,NA,NA,2,2,4,2,0,NA,NA,3
cell_413,NA,4,NA,2,2,2,NA,NA,0,2,NA,3
cell_414,0,4,5,29,2,NA,4,NA,0,2,NA,NA
cell_415,3,4,0,0,2,2,4,2,NA,2,NA,3
cell_416,NA,4,NA,0,2,2,NA,2,0,NA,NA,NA
cell_417,2,4,0,0,2,2,2,2,0,NA,0,3
cell_418,2,4,0,0,NA,2,2,NA,NA,2,0,3
cell_419,NA,4,0,0,2,2,2,2,NA,2,0,NA
cell_420,2,4,0,15,2,2,NA,2,0,NA,0,3
cell_421,NA,NA,2,NA,NA,2,2,2,NA,2,0,3
cell_422,0,4,2,NA,2,NA,2,2,NA,2,0,NA
cell_423,0,4,2,0,NA,2,NA,2,0,2,NA,3
