,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_368,3,NA,16,3,NA,2,0,2,0,NA,2,0
cell_369,3,NA,16,3,2,NA,2,0,0,2,5,19
cell_370,NA,2,16,3,2,NA,2,0,0,NA,5,19
cell_371,NA,2,16,NA,2,2,2,0,0,2,5,19
cell_372,3,2,16,3,2,2,NA,5,0,2,5,19
cell_373,3,0,16,3,NA,2,2,NA,4,2,5,5
cell_374,3,0,16,NA,2,2,2,2,4,NA,5,5
cell_375,NA,0,16,3,NA,2,2,0,4,2,5,NA
cell_376,3,0,NA,3,NA,2,2,0,4,2,NA,0
cell_377,3,2,NA,3,2,2,2,0,0,2,NA,61
cell_378,3,2,16,3,NA,2,2,0,0,2,0,61
cell_379,3,0,16,NA,2,NA,2,4,0,NA,2,61
cell_380,3,NA,NA,3,2,2,2,NA,0,NA,NA,61
cell_381,3,0,16,3,2,2,2,5,NA,NA,5,NA
cell_382,3,0,16,3,2,2,2,5,2,2,NA,0
cell_383,3,0,NA,3,2,2,2,5,NA,2,NA,0
cell_384,3,0,NA,3,NA,2,NA,5,NA,2,NA,0
cell_385,0,5,2,3,NA,2,5,5,2,2,2,NA
cell_386,0,0,NA,NA,2,2,5,5,2,2,2,5
cell_387,0,3,0,3,2,2,5,5,2,0,NA,5
cell_388,11,3,NA,3,2,2,5,5,2,0,2,5
cell_389,0,NA,NA,NA,NA,2,NA,5,NA,0,2,NA
cell_390,NA,NA,NA,NA,NA,2,5,5,2,0,NA,5
cell_391,NA,NA,NA,NA,NA,2,5,5,2,0,NA,5
cell_392,0,NA,NA,NA,NA,NA,NA,5,2,0,2,5
cell_393,5,0,2,3,0,2,5,5,2,0,2,5
cell_394,5,0,NA,3,NA,2,NA,5,2,NA,2,5
cell_395,NA,NA,2,NA,0,2,NA,NA,2,NA,2,NA
cell_396,5,NA,2,3,11,2,5,5,2,0,2,5
cell_397,5,0,0,NA,0,2,5,5,2,NA,NA,NA
cell_398,5,0,0,3,0,2,5,NA,2,0,NA,5
cell_399,5,5,2,NA,NA,2,5,NA,NA,3,2,5
