cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_329,0,0,5,2,0,-,-,-,0,0,2,2
cell_330,-,0,5,2,4,-,-,2,-,2,2,-
cell_331,2,0,5,2,0,2,4,2,-,0,-,2
cell_332,2,0,5,2,2,2,4,2,0,0,2,-
cell_333,0,2,-,2,0,0,4,2,0,0,2,-
cell_334,5,-,5,2,0,0,4,-,0,2,2,2
cell_335,0,-,5,2,0,0,4,-,-,0,2,2
cell_336,-,0,5,2,0,0,4,2,0,0,2,2
cell_337,0,0,5,-,0,0,4,2,0,0,2,0
cell_338,0,0,5,2,-,0,4,2,0,0,2,0
cell_339,0,-,5,2,0,0,4,-,0,2,2,-
cell_340,-,0,5,2,2,0,4,2,0,-,-,0
cell_341,-,-,5,2,-,11,4,2,0,56,-,0
cell_342,0,0,5,-,0,-,-,2,0,56,2,0
cell_343,0,0,5,-,0,2,4,2,-,3,2,0
cell_344,0,0,-,2,-,-,4,2,0,3,2,0
cell_345,2,2,-,2,0,2,4,2,-,2,2,2
cell_346,2,-,5,2,0,-,4,-,-,-,2,-
cell_347,0,-,5,2,0,118,4,2,2,0,-,2
cell_348,0,-,5,2,0,118,4,2,2,0,2,2
cell_349,2,-,5,2,0,0,4,2,0,2,2,0
cell_350,2,-,5,2,0,-,4,2,0,2,2,0
cell_351,-,0,5,2,5,0,4,-,0,-,2,-
cell_352,2,-,5,2,0,0,4,2,0,-,-,-
cell_353,3,6,5,2,5,0,4,2,2,0,2,5
cell_354,3,6,-,-,5,0,4,2,2,0,2,5
cell_355,3,6,5,2,5,0,4,2,0,-,2,5
cell_356,-,6,-,2,5,0,4,2,0,-,2,-
cell_357,3,6,5,-,5,-,4,2,3,0,2,5
cell_358,3,6,5,2,5,4,4,-,3,0,2,5
cell_359,3,6,-,2,5,12,-,2,3,0,2,5
cell_360,3,6,5,2,5,12,4,-,3,0,2,-
cell_361,-,6,5,2,5,2,4,-,0,-,2,5
cell_362,0,6,5,2,5,0,4,-,-,2,-,-
cell_363,-,6,5,-,5,0,4,2,-,2,-,5
cell_364,0,6,-,2,-,0,-,2,-,-,2,5
cell_365,-,-,5,2,5,8,4,2,0,-,-,5
cell_366,0,6,5,2,5,8,4,2,-,-,2,5
cell_367,3,6,5,2,-,-,4,2,-,2,2,-
cell_368,2,6,5,2,5,8,4,2,0,2,2,5
cell_369,2,0,5,2,5,0,-,2,3,0,2,5
cell_370,2,0,5,-,5,0,4,2,3,0,-,-
cell_371,2,0,5,2,5,0,4,-,-,0,2,5
cell_372,2,-,-,2,5,4,4,2,3,4,-,5
cell_373,-,0,5,2,5,0,4,-,-,0,2,5
cell_374,-,0,5,2,5,0,4,2,-,-,2,-
cell_375,-,-,-,2,5,-,-,2,3,0,2,-
cell_376,2,0,-,2,5,0,4,2,3,0,2,5
cell_377,2,0,5,2,5,0,4,-,-,2,2,5
cell_378,2,9,5,2,-,0,-,2,0,0,2,5
cell_379,2,0,-,2,-,0,4,2,-,-,2,-
cell_380,-,0,5,2,5,0,-,2,0,0,2,5
cell_381,-,2,5,2,5,4,4,2,0,0,2,5
cell_382,2,-,5,2,5,4,4,-,-,0,2,5
cell_383,-,12,5,2,-,0,-,2,2,-,2,5
cell_384,2,0,5,-,5,0,4,2,-,0,2,5
cell_385,0,10,4,20,5,-,4,0,2,2,2,50
cell_386,0,-,4,20,5,0,4,0,2,2,-,50
cell_387,0,10,4,20,-,-,4,0,2,2,2,50
cell_388,0,10,4,20,-,0,4,0,2,2,2,50
cell_389,0,10,-,20,-,0,4,46,2,-,2,0
cell_390,0,10,0,-,-,0,-,-,-,2,2,0
cell_391,-,-,5,20,5,0,4,0,2,2,2,0
cell_392,0,10,5,20,5,0,4,-,2,2,-,0
cell_393,2,10,0,20,5,0,4,-,0,-,2,2
cell_394,-,10,0,20,5,-,4,0,0,0,2,2
cell_395,2,10,0,-,5,-,4,-,0,0,-,0
cell_396,2,10,0,20,5,0,4,5,0,-,2,0
cell_397,2,-,2,20,5,0,4,0,0,2,2,0
cell_398,2,-,2,20,5,0,4,-,0,0,2,-
cell_399,2,-,0,20,5,0,4,-,0,0,-,0
cell_400,2,10,2,20,5,0,4,2,0,0,2,2
cell_401,0,10,0,20,5,-,4,-,0,0,2,-
cell_402,5,10,56,20,5,2,4,0,0,0,2,0
cell_403,-,10,0,-,-,0,-,0,-,0,2,-
cell_404,0,10,-,20,5,0,-,0,0,-,2,0
cell_405,0,-,0,20,-,0,4,0,-,-,2,0
cell_406,0,10,-,20,5,0,4,-,-,0,2,-
cell_407,0,-,0,-,-,0,-,-,0,-,2,0
cell_408,0,-,0,20,5,0,4,-,-,2,2,-
cell_409,0,10,0,20,5,2,4,0,0,-,2,0
cell_410,0,10,0,20,5,0,-,0,4,0,2,0
cell_411,-,10,0,20,5,0,4,0,-,-,2,2
cell_412,0,10,0,20,5,0,4,-,0,0,2,-
cell_413,0,10,0,20,5,2,4,0,0,0,2,0
cell_414,0,-,0,20,5,-,-,2,0,0,2,0
cell_415,0,10,3,20,5,2,4,0,0,0,2,0
cell_416,0,10,-,20,5,0,4,0,0,0,2,2
cell_417,-,10,-,20,5,6,4,-,2,0,-,0
cell_418,3,10,0,20,5,-,4,2,2,0,2,0
cell_419,-,10,0,-,5,-,4,2,2,2,-,0
cell_420,3,10,0,20,5,6,4,2,2,-,2,0
cell_421,0,10,3,-,-,6,4,2,2,0,2,12
cell_422,0,10,3,20,5,6,4,2,2,0,2,12
cell_423,-,10,0,20,-,6,4,2,2,0,2,0
cell_424,-,10,0,20,5,6,4,2,2,12,2,0
cell_425,2,10,0,20,5,6,-,2,-,-,2,-
cell_426,-,-,0,20,-,-,4,2,-,-,2,-
cell_427,-,10,-,20,-,6,4,2,-,-,2,0
cell_428,0,10,0,20,5,-,-,2,-,-,2,0
cell_429,0,10,0,-,5,-,-,2,-,-,2,0
cell_430,0,10,0,20,-,6,4,-,-,-,2,3
cell_431,-,10,0,-,5,6,4,2,-,-,2,0
cell_432,0,10,0,20,5,6,4,2,-,-,2,0
cell_433,0,-,3,-,-,0,4,-,0,-,2,0
cell_434,-,10,-,20,5,0,4,2,0,0,2,0
cell_435,0,10,3,-,5,-,-,2,2,5,2,2
cell_436,0,10,3,20,-,0,4,-,2,0,2,2
cell_437,0,10,0,20,5,0,4,2,0,2,-,0
cell_438,0,10,0,-,5,0,-,2,0,2,2,-
cell_439,0,10,0,-,5,-,4,-,0,2,2,2
cell_440,0,10,0,20,-,2,4,2,0,2,2,2
cell_441,2,-,0,20,5,-,4,2,-,-,2,-
cell_442,2,10,0,-,5,5,4,2,0,2,2,0
cell_443,0,10,2,-,5,3,4,2,0,-,2,8
cell_444,0,10,2,20,5,3,-,2,0,-,2,8
cell_445,0,10,-,-,-,-,4,2,0,0,2,0
cell_446,0,10,0,20,5,2,4,2,0,-,2,-
cell_447,0,10,-,20,5,2,4,-,0,-,2,0
cell_448,0,-,2,-,5,2,4,2,0,-,2,0
cell_449,-,10,-,2,-,0,4,-,2,0,2,-
cell_450,0,10,27,2,5,0,4,0,2,2,2,2
cell_451,0,10,27,-,-,0,4,0,2,0,2,2
cell_452,-,-,27,-,5,0,4,0,-,-,-,2
cell_453,4,10,27,2,5,0,4,0,-,0,-,-
cell_454,0,10,27,2,5,0,4,0,2,0,2,2
cell_455,0,-,27,2,5,0,-,-,2,5,-,2
