cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_320	0	0	0	2	0	0	0	2	5	2	0	0
cell_321	0	2	0	0	5	0	0	2	5	2	10	0
cell_322	0	0	0	0	5	0	0	2	5	2	10	0
cell_323	0	0	0	0	5	0	0	2	5	2	10	0
cell_324	0	0	0	2	5	0	0	2	5	2	10	0
cell_325	0	0	0	0	5	5	2	2	5	2	10	0
cell_326	0	0	0	0	5	5	2	2	5	2	10	2
cell_327	0	0	0	0	5	5	2	2	5	2	10	0
cell_328	0	0	0	0	5	5	2	2	5	2	10	0
cell_329	2	0	0	0	5	0	0	2	5	2	10	0
cell_330	2	0	0	0	5	0	0	2	5	2	10	0
cell_331	2	0	0	2	5	0	2	2	5	2	10	0
cell_332	2	0	0	2	5	0	2	2	5	2	10	0
cell_333	2	0	0	2	5	3	12	2	5	2	10	0
cell_334	2	0	0	2	5	0	12	2	5	2	10	0
cell_335	2	0	0	0	5	0	12	2	5	2	10	0
cell_336	2	0	0	0	5	0	12	2	5	2	10	5
cell_337	0	2	0	0	5	0	0	2	5	2	10	0
cell_338	0	2	0	0	5	0	0	2	5	2	10	0
cell_339	3	2	0	0	5	2	0	2	5	2	10	0
cell_340	0	2	0	0	5	2	0	2	5	2	10	0
cell_341	0	2	0	0	5	0	5	2	5	2	10	0
cell_342	0	2	0	0	5	0	5	2	5	2	10	0
cell_343	0	2	0	0	5	0	5	2	5	2	10	0
cell_344	0	2	0	4	5	0	5	2	5	2	10	0
cell_345	0	0	0	0	5	0	0	2	5	2	10	2
cell_346	0	0	0	0	5	0	0	2	5	2	10	2
cell_347	0	0	0	0	5	0	2	2	5	2	10	0
cell_348	0	0	0	0	5	0	0	2	5	2	10	0
cell_349	0	2	0	0	5	0	0	2	5	2	10	0
cell_350	0	2	0	0	5	0	0	2	5	2	10	0
cell_351	0	2	0	0	5	0	0	2	5	2	10	2
cell_352	0	2	0	0	5	0	0	2	5	2	10	0
cell_353	0	0	0	0	5	0	0	2	5	2	4	0
cell_354	0	0	0	0	5	0	0	2	5	2	4	0
cell_355	0	0	0	0	5	0	0	2	5	2	4	0
cell_356	0	0	0	0	5	0	0	2	5	2	4	0
cell_357	0	0	0	0	5	0	5	2	5	2	4	0
cell_358	0	0	0	0	5	0	2	2	5	2	4	0
cell_359	0	0	3	0	5	0	0	2	5	2	4	0
cell_360	0	0	0	0	5	0	0	2	5	2	4	0
cell_361	0	0	0	0	5	0	0	2	5	2	4	0
cell_362	0	0	0	0	5	0	0	2	5	2	4	0
cell_363	0	0	0	0	5	0	0	2	5	2	4	2
cell_364	0	0	0	0	5	0	0	2	5	2	4	0
cell_365	0	8	0	0	5	0	0	2	5	2	4	0
cell_366	0	8	0	0	5	0	0	2	5	2	4	0
cell_367	0	0	0	0	5	0	0	2	5	2	4	0
cell_368	0	0	0	0	5	0	0	2	5	2	4	0
cell_369	0	2	0	0	5	5	2	2	5	2	4	0
cell_370	0	2	0	0	5	5	2	2	5	2	4	0
cell_371	0	2	0	0	5	5	2	2	5	2	4	2
cell_372	0	2	0	0	5	5	2	2	5	2	4	2
cell_373	0	0	0	0	5	5	0	2	5	2	4	0
