,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_270,0,8,0,0,3,0,0,2,0,0,0,2
cell_271,0,8,0,0,2,0,0,2,0,0,0,2
cell_272,0,8,0,0,2,0,0,2,0,0,0,2
cell_273,2,8,3,0,0,0,0,0,0,0,0,0
cell_274,2,8,3,0,0,0,0,0,0,0,0,0
cell_275,0,8,3,0,0,0,2,0,0,0,0,0
cell_276,0,8,3,2,0,0,0,0,0,2,0,2
cell_277,0,8,3,0,0,0,0,0,0,0,0,0
cell_278,0,8,3,0,0,0,2,0,0,0,0,0
cell_279,0,8,3,3,0,0,0,0,0,0,0,0
cell_280,0,8,3,0,0,0,0,0,0,0,0,0
cell_281,2,8,3,0,0,0,0,0,0,0,3,0
cell_282,2,8,3,0,0,0,0,0,0,0,3,0
cell_283,2,8,3,0,0,0,0,0,3,0,2,0
cell_284,2,8,3,0,2,0,0,0,3,0,2,0
cell_285,0,8,3,0,0,0,0,0,0,2,0,0
cell_286,0,8,3,0,0,0,0,12,0,0,0,0
cell_287,0,8,3,0,0,0,0,4,0,0,0,0
cell_288,0,8,3,0,0,0,0,0,4,0,0,0
cell_289,2,8,4,2,0,0,0,0,0,2,21,0
cell_290,2,8,4,2,0,0,0,2,0,2,21,0
cell_291,0,8,4,2,0,0,2,2,0,2,21,0
cell_292,0,8,4,2,0,0,0,0,0,2,21,0
cell_293,2,8,4,2,0,0,9,0,0,2,21,0
cell_294,0,8,4,2,0,0,0,0,0,2,21,0
cell_295,0,8,4,2,0,2,0,0,0,2,21,0
cell_296,0,8,4,2,0,2,0,0,0,2,21,0
cell_297,0,8,4,2,0,27,0,0,2,0,21,0
cell_298,0,8,4,2,0,27,0,0,0,0,21,0
cell_299,0,8,4,2,0,27,0,0,0,0,21,0
cell_300,0,8,4,2,0,27,0,0,0,2,21,0
cell_301,0,8,4,2,0,0,0,0,3,0,21,0
cell_302,0,8,4,2,0,0,0,0,0,0,21,0
cell_303,0,8,4,2,0,0,5,0,0,0,21,2
cell_304,0,8,4,2,0,0,0,0,0,0,21,2
cell_305,5,8,4,5,0,0,0,0,0,0,21,0
cell_306,5,8,4,5,0,0,0,0,0,0,21,0
cell_307,0,8,4,5,0,0,0,0,0,0,21,0
cell_308,2,8,4,5,0,0,0,0,0,0,21,0
cell_309,0,8,4,5,0,2,0,0,0,0,21,4
cell_310,0,8,4,5,0,2,0,0,0,0,21,4
cell_311,0,8,4,5,0,2,0,0,0,0,21,0
cell_312,0,8,4,5,0,2,0,0,0,0,21,0
